t,prosumer,P_buyGrid,P_sellGrid,P_sellP2P,P_buyP2P,P_ch,P_dch,E_bat,P_gen,P_load
0,0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,3.0
0,1,0.0,0.0,0.0,6.0,3.0,0.0,6.7,0.0,3.0
0,2,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
1,0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,3.0
1,1,1.139999999999988,0.0,0.0,0.0,0.0,1.8600000000000116,4.633333333333334,0.0,3.0
1,2,0.0,0.0,0.0,6.0,3.0,0.0,6.7,0.0,3.0
2,0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,3.0
2,1,0.0,0.0,0.0,6.0,3.0,0.0,7.333333333333333,0.0,3.0
2,2,0.5700000000000046,0.0,0.0,0.0,0.0,2.4299999999999953,4.0,0.0,3.0
3,0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,3.0
3,1,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0
3,2,0.0,0.0,0.0,6.0,3.0,0.0,6.7,0.0,3.0
4,0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,9.0,3.0
4,1,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0
4,2,0.5700000000000005,0.0,0.0,0.0,0.0,2.4299999999999993,4.0,0.0,3.0
