id;name;geoname;value;datetime
1001;PVPC T. 2.0TD;Península;232.83;2025-09-10T00:00:00+02:00
1001;PVPC T. 2.0TD;Península;208.18;2025-09-10T01:00:00+02:00
1001;PVPC T. 2.0TD;Península;215.69;2025-09-10T02:00:00+02:00
1001;PVPC T. 2.0TD;Península;192.51;2025-09-10T03:00:00+02:00
1001;PVPC T. 2.0TD;Península;167.77;2025-09-10T04:00:00+02:00
1001;PVPC T. 2.0TD;Península;154.28;2025-09-10T05:00:00+02:00
1001;PVPC T. 2.0TD;Península;185.22;2025-09-10T06:00:00+02:00
1001;PVPC T. 2.0TD;Península;200.16;2025-09-10T07:00:00+02:00
1001;PVPC T. 2.0TD;Península;205.89;2025-09-10T08:00:00+02:00
1001;PVPC T. 2.0TD;Península;153.49;2025-09-10T09:00:00+02:00
1001;PVPC T. 2.0TD;Península;146.3;2025-09-10T10:00:00+02:00
1001;PVPC T. 2.0TD;Península;132.69;2025-09-10T11:00:00+02:00
1001;PVPC T. 2.0TD;Península;132.66;2025-09-10T12:00:00+02:00
1001;PVPC T. 2.0TD;Península;130.04;2025-09-10T13:00:00+02:00
1001;PVPC T. 2.0TD;Península;65.12;2025-09-10T14:00:00+02:00
1001;PVPC T. 2.0TD;Península;65.59;2025-09-10T15:00:00+02:00
1001;PVPC T. 2.0TD;Península;65.66;2025-09-10T16:00:00+02:00
1001;PVPC T. 2.0TD;Península;72.63;2025-09-10T17:00:00+02:00
1001;PVPC T. 2.0TD;Península;175.16;2025-09-10T18:00:00+02:00
1001;PVPC T. 2.0TD;Península;249.64;2025-09-10T19:00:00+02:00
1001;PVPC T. 2.0TD;Península;347.64;2025-09-10T20:00:00+02:00
1001;PVPC T. 2.0TD;Península;367.12;2025-09-10T21:00:00+02:00
1001;PVPC T. 2.0TD;Península;287.23;2025-09-10T22:00:00+02:00
1001;PVPC T. 2.0TD;Península;239.35;2025-09-10T23:00:00+02:00
600;Mercado SPOT;España;89.94;2025-09-10T00:00:00+02:00
600;Mercado SPOT;España;83.09;2025-09-10T01:00:00+02:00
600;Mercado SPOT;España;83.09;2025-09-10T02:00:00+02:00
600;Mercado SPOT;España;81.1;2025-09-10T03:00:00+02:00
600;Mercado SPOT;España;72.99;2025-09-10T04:00:00+02:00
600;Mercado SPOT;España;66;2025-09-10T05:00:00+02:00
600;Mercado SPOT;España;77.5;2025-09-10T06:00:00+02:00
600;Mercado SPOT;España;84.26;2025-09-10T07:00:00+02:00
600;Mercado SPOT;España;75.99;2025-09-10T08:00:00+02:00
600;Mercado SPOT;España;45.1;2025-09-10T09:00:00+02:00
600;Mercado SPOT;España;8;2025-09-10T10:00:00+02:00
600;Mercado SPOT;España;0;2025-09-10T11:00:00+02:00
600;Mercado SPOT;España;0;2025-09-10T12:00:00+02:00
600;Mercado SPOT;España;-0.01;2025-09-10T13:00:00+02:00
600;Mercado SPOT;España;-0.01;2025-09-10T14:00:00+02:00
600;Mercado SPOT;España;-0.01;2025-09-10T15:00:00+02:00
600;Mercado SPOT;España;-0.01;2025-09-10T16:00:00+02:00
600;Mercado SPOT;España;4.9;2025-09-10T17:00:00+02:00
600;Mercado SPOT;España;23.09;2025-09-10T18:00:00+02:00
