t,prosumer,P_buyGrid,P_sellGrid,P_sellP2P,P_buyP2P,P_ch,P_dch,E_bat,P_gen,P_load,Bat_cap,Bat_cap_max
0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
0,1,0.0,0.0,0.0,0.0,0.0,1.2,1.17,0.0,1.2,1.17,5
0,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0
1,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0
1,1,2.15,0.0,0.0,0.0,0.0,0.15,1.0,0.0,2.3,1.0,5
1,2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0
2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0
2,1,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.4,1.0,5
2,2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0
3,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0
3,1,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,1.0,5
3,2,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0
4,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0
4,1,5.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6,1.0,5
4,2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0
