t,prosumer,P_buyGrid,P_sellGrid,P_sellP2P,P_buyP2P,P_ch,P_dch,P_gen,P_load,E_bat,Bat_cap_max
0,0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,10
0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20
0,2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.9,10
1,0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,10
1,1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.9,20
1,2,0.38,0.0,0.0,0.0,0.0,0.62,0.0,1.0,2.21,10
2,0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,10
2,1,0.19,0.0,0.0,0.0,0.0,0.81,0.0,1.0,4.0,20
2,2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.11,10
3,0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,10
3,1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.9,20
3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10
4,0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,10
4,1,0.19,0.0,0.0,0.0,0.0,0.81,0.0,1.0,4.0,20
4,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10
