Ts,Prosumer,Pgen,P_buyed_grid,P_selled_grid,P_buyed_P2P,P_selled_P2P,P_total,P_demand
1,1,0.05,0.0,0.00825,0.0,0.0,0.04175,0.04175
1,2,0.05,0.0,0.00425,0.0,0.0,0.04575,0.04575
1,3,0.05,0.0,0.00425,0.0,0.0,0.04575,0.04575
1,4,0.05,0.0,0.00025,0.0,0.0,0.04975,0.04975
1,5,0.05,0.0,0.00025,0.0,0.0,0.04975,0.04975
2,1,0.0,0.01125,0.0,0.0,0.0,0.01125,0.01125
2,2,0.0,0.01125,0.0,0.0,0.0,0.01125,0.01125
2,3,0.0,0.01125,0.0,0.0,0.0,0.01125,0.01125
2,4,0.0,0.01125,0.0,0.0,0.0,0.01125,0.01125
2,5,0.0,0.01125,0.0,0.0,0.0,0.01125,0.01125
3,1,0.003913531,0.001586469,0.0,0.0,0.0,0.0055,0.0055
3,2,0.003977443,0.001522557,0.0,0.0,0.0,0.0055,0.0055
3,3,0.004618763,0.000881237,0.0,0.0,0.0,0.0055,0.0055
3,4,0.004691942,0.000808058,0.0,0.0,0.0,0.0055,0.0055
3,5,0.00416953225,0.00133046775,0.0,0.0,0.0,0.0055,0.0055
4,1,0.01789042725,0.0,0.01214042725,0.0,0.0,0.00575,0.00575
4,2,0.01875080225,0.0,0.01300080225,0.0,0.0,0.00575,0.00575
4,3,0.01962974225,0.0,0.01387974225,0.0,0.0,0.005749999999999998,0.00575
4,4,0.019940753,0.0,0.011940753,0.0,0.0,0.007999999999999998,0.008
4,5,0.02084766075,0.0,0.01284766075,0.0,0.0,0.008,0.008
5,1,0.02292211,0.0,0.02217211,0.0,0.0,0.0007500000000000007,0.00075
5,2,0.026137482,0.0,0.025387482,0.0,0.0,0.0007500000000000007,0.00075
5,3,0.027135232,0.0,0.026385232,0.0,0.0,0.0007499999999999972,0.00075
5,4,0.02404620225,0.0,0.02329620225,0.0,0.0,0.0007500000000000007,0.00075
5,5,0.02799543025,0.0,0.02724543025,0.0,0.0,0.0007500000000000007,0.00075
