Ts,Prosumer,Pgen_kWh,P_buy_grid_kWh,P_sell_grid_kWh,P_buy_P2P_kWh,P_sell_P2P_kWh,Bateria_Energia_kWh,Bateria_SoC_%,P_demand_kWh,Balance_kWh
1,1,0.00,0.00,7.19,0.00,0.00,0.00,0.03,0.00,0.00
1,2,0.00,0.00,7.19,0.00,0.00,0.00,0.00,0.01,0.01
1,3,0.00,0.00,7.19,0.00,0.00,0.00,0.04,0.01,0.01
1,4,0.00,0.00,6.19,0.00,0.00,1.12,11.20,0.00,0.00
1,5,0.00,0.00,7.03,0.00,0.00,0.18,1.78,0.01,0.01
2,1,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.01,0.01
2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,3,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.01
2,4,0.00,0.00,0.00,0.00,0.03,1.08,10.85,0.01,0.01
2,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,3,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.01
3,4,0.00,0.00,0.00,0.00,0.02,1.06,10.56,0.01,0.01
3,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,3,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.01
4,4,0.00,0.00,0.00,0.00,0.02,1.03,10.27,0.01,0.01
4,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,3,0.00,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.04
5,4,0.00,0.00,0.00,0.00,0.06,0.96,9.60,0.01,0.01
5,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,3,0.00,0.00,0.00,0.02,0.00,0.00,0.04,0.02,0.02
6,4,0.00,0.00,0.00,0.00,0.03,0.92,9.21,0.01,0.01
6,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,3,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.01
7,4,0.00,0.00,0.00,0.00,0.02,0.90,8.97,0.01,0.01
7,5,0.00,0.00,0.00,0.01,0.00,0.18,1.78,0.01,0.01
8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
8,2,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.03
