t,prosumer,P_buyGrid,P_sellGrid,P_sellP2P,P_buyP2P,P_ch,P_dch,E_bat,P_gen,P_load,Bat_cap,Bat_cap_max
0,0,0.0,4.31,3.0,0.0,0.0,1.31,8.54,9.0,3.0,8.54,20
0,1,0.3,0.0,0.0,0.0,0.0,2.7,2.0,0.0,3.0,2.0,10
0,2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
1,0,0.0,1.37,6.7,0.0,0.0,2.07,6.24,9.0,3.0,6.24,20
1,1,0.0,0.0,0.0,6.7,3.7,0.0,5.33,0.0,3.0,5.33,10
1,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
2,0,0.0,3.0,3.0,0.0,0.0,0.0,6.24,9.0,3.0,6.24,20
2,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,10
2,2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
3,0,0.0,0.0,6.7,0.0,0.0,0.7,5.46,9.0,3.0,5.46,20
3,1,0.0,0.0,0.0,6.7,3.7,0.0,5.33,0.0,3.0,5.33,10
3,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
4,0,0.0,4.31,3.0,0.0,0.0,1.31,4.0,9.0,3.0,4.0,20
4,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,10
4,2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
